,0,1,2,3
"[0.0, 0.0, 40.0, 40.0]",-6.891923381015516,-6.870822642452221,-5.687677912440045,-6.887380784629762
"[0.0, 40.0, 40.0, 80.0]",-6.560549778988144,-6.554890708786476,-7.488754359684361,-6.561446887592694
"[40.0, 40.0, 80.0, 80.0]",-9.219627794669242,-9.217266846316203,-9.231116268360974,-9.222312901834199
"[40.0, 80.0, 80.0, 120.0]",-9.204069959006953,-9.214201052647265,-9.20410707119286,-9.21134834101617
"[40.0, 120.0, 80.0, 160.0]",-9.203488986332228,-9.199631419752123,-9.204354453921242,-9.196948206825097
"[80.0, 120.0, 120.0, 160.0]",-9.205420731831154,-9.19836549233636,-9.192497384143365,-9.19938661057467
"[80.0, 80.0, 120.0, 120.0]",-9.20555173860108,-9.196756334207718,-9.215537003109278,-9.202441961269159
"[80.0, 160.0, 120.0, 200.0]",-9.204248831129837,-9.197542317239966,-9.197715374008867,-9.192616633582036
"[120.0, 80.0, 160.0, 120.0]",-9.214877031833629,-9.200827122845471,-9.191059324894239,-9.203445793712577
"[160.0, 80.0, 200.0, 120.0]",-9.189587494621238,-9.192475121191563,-9.180161199507,-9.183319885802634
"[120.0, 120.0, 160.0, 160.0]",-9.206526063880965,-9.198515464256385,-9.192083007860298,-9.192719756545266
"[160.0, 120.0, 200.0, 160.0]",-9.179230689692025,-9.168865414372746,-9.169499419670238,-9.20666648247596
"[160.0, 160.0, 200.0, 200.0]",-9.182120290178588,-9.185851108619216,-9.51868056027511,-9.185750457689675
"[160.0, 200.0, 200.0, 240.0]",-9.179401393699274,-9.175226923735588,-9.224778752885904,-9.188958906079433
"[200.0, 200.0, 240.0, 240.0]",-9.531308791654421,-39.51424,-12.537888508904778,-9.120533448829546
"[200.0, 160.0, 240.0, 200.0]",-9.133900341847884,-11.698551400352146,-9.130455992542922,-9.147562553370234
terminal,0.0,0.0,0.0,0.0
"[40.0, 0.0, 80.0, 40.0]",-6.4401601836802564,-7.286714660890619,-4.886441301663847,-6.515577969146299
"[80.0, 0.0, 120.0, 40.0]",-5.927066288009933,-6.218166972865131,-3.8865435330246605,-6.189439650203741
"[40.0, 160.0, 80.0, 200.0]",-9.198160760330898,-9.194006614751368,-9.198245950339814,-9.201160846646546
"[120.0, 160.0, 160.0, 200.0]",-9.19117594896613,-9.19436649360147,-9.191710433964657,-9.202117525209367
"[80.0, 200.0, 120.0, 240.0]",-9.196205869352603,-9.198400299670222,-9.187259977212282,-9.188870685120536
"[80.0, 240.0, 120.0, 280.0]",-9.19259100575164,-9.200364274857813,-9.195701976512057,-9.192690617617517
"[40.0, 240.0, 80.0, 280.0]",-9.202237246613128,-9.190888924693322,-9.190708052577683,-9.19590507781157
"[120.0, 200.0, 160.0, 240.0]",-9.201579370624266,-9.185708768308219,-9.180841397994614,-9.189172522448247
"[120.0, 240.0, 160.0, 280.0]",-9.18838365133388,-9.196945328538023,-9.19582518278194,-9.187938167180947
"[160.0, 240.0, 200.0, 280.0]",-9.179457150324678,-10.28069100817072,-33.616,-9.173235498395204
"[40.0, 200.0, 80.0, 240.0]",-9.198412696534765,-9.19469740533657,-9.18939222517437,-9.211561084039511
"[200.0, 120.0, 240.0, 160.0]",-9.174397884500198,-9.154682977675009,-9.1618907998549,-9.15492769133362
"[120.0, 0.0, 160.0, 40.0]",-4.893004654902477,-5.774594864604454,-2.9255103829028695,-5.81408236527558
"[160.0, 0.0, 200.0, 40.0]",-5.215584923933861,-5.237171527077476,-2.14808316692654,-5.4624989499237815
"[200.0, 0.0, 240.0, 40.0]",-4.872163624034286,-4.596342488069608,-1.2209952138976317,-4.72804562514212
"[240.0, 0.0, 280.0, 40.0]",-3.831225331694988,-4.366180771017119,0.8629886511519986,-4.194361196953313
"[200.0, 80.0, 240.0, 120.0]",-9.17043301849734,-9.171741372347377,-9.1705850857115,-9.183992233148293
"[0.0, 80.0, 40.0, 120.0]",-6.243345823459438,-6.182655078720388,-7.540711469558922,-6.30463123470376
"[0.0, 120.0, 40.0, 160.0]",-5.916458554676764,-5.793459190677562,-6.7289311019689615,-5.879046300693093
"[280.0, 0.0, 320.0, 40.0]",-2.6160489766084423,-0.5978336821959351,4.448728537216572,-3.4498086312292586
"[280.0, 40.0, 320.0, 80.0]",-3.2999432680494025,-3.286485927967657,4.421990535205336,-3.443908756625094
"[280.0, 80.0, 320.0, 120.0]",-2.9101714310118783,-2.7683657145831204,-0.10845201365545787,-2.88604626518647
"[320.0, 80.0, 360.0, 120.0]",-0.06671564428602039,13.109638714952263,1.5287051937320606,-2.643839801462473
"[320.0, 120.0, 360.0, 160.0]",0.4179505562497621,18.331305805042067,1.1139002768473358,-1.096103102916679
"[320.0, 160.0, 360.0, 200.0]",4.099003806192311,24.088596237169806,6.520381817495035,1.5295314404834968
"[320.0, 200.0, 360.0, 240.0]",4.462639637965251,29.022218594124656,3.5101556649236945,-1.3262003678678786
"[280.0, 200.0, 320.0, 240.0]",-1.3547992175968204,-1.40653070354432,-1.3318977432166401,-1.6167763330830724
"[280.0, 160.0, 320.0, 200.0]",-1.7232997029694699,-1.7166880188257854,10.105494733834075,-1.8946784782851023
"[280.0, 240.0, 320.0, 280.0]",-1.01304245090304,-0.5044870656,15.196906298249015,-0.99031392
"[320.0, 240.0, 360.0, 280.0]",6.4292295189841075,34.6647856845146,4.856586924637357,1.692246870326572
"[240.0, 240.0, 280.0, 280.0]",-0.7741152,0.813700811198616,-0.6341600000000001,-10.0
"[320.0, 0.0, 360.0, 40.0]",-3.3623306397920887,6.422162745445678,-2.122549753674992,-3.2686859385789897
"[320.0, 40.0, 360.0, 80.0]",-0.3220543475577329,8.5494460383056,-1.636470225761581,-3.1843918332169685
"[280.0, 120.0, 320.0, 160.0]",-2.340146508901405,-2.203626648152975,4.952831328614146,-2.3232574069747476
"[320.0, 280.0, 360.0, 320.0]",4.499713746824968,42.82969961888418,17.52842985967053,-0.396
"[280.0, 280.0, 320.0, 320.0]",-0.50212034496,8.757700736121341,-0.396,-0.396
"[240.0, 280.0, 280.0, 320.0]",-0.524,12.363076265982826,-0.396,-0.36000000000000004
"[200.0, 280.0, 240.0, 320.0]",-10.0,0.5908733134583709,0.14018155989589437,0.0
"[320.0, 320.0, 360.0, 360.0]",33.616,10.0,49.99999999977065,33.616
"[0.0, 160.0, 40.0, 200.0]",-5.505987827711748,-5.311862932289912,-5.9474968506925725,-5.3906539749874645
"[240.0, 320.0, 280.0, 360.0]",-0.42479999999999996,0.0,36.019522764054074,-0.2
"[200.0, 320.0, 240.0, 360.0]",-0.57584,4.2074982930144476,30.31832729703636,-0.436464
"[160.0, 320.0, 200.0, 360.0]",-1.1183958144000001,-1.082256083077202,23.951156118749058,-1.1341746537126238
"[120.0, 320.0, 160.0, 360.0]",2.185381829744277,-1.8798572487666483,17.527018094133513,-1.5745502936515912
"[80.0, 320.0, 120.0, 360.0]",-2.303828222514655,-2.19221038294095,9.478983514651533,-2.157821307128291
"[280.0, 320.0, 320.0, 360.0]",0.0,-0.2,42.447781386584275,8.264752575137639
"[0.0, 200.0, 40.0, 240.0]",-4.912924319413445,-4.495428298020181,-6.68025076146848,-5.032159590614154
"[0.0, 240.0, 40.0, 280.0]",-4.655802078073472,-3.163190712511931,-5.563678772492081,-4.671044510703697
"[0.0, 280.0, 40.0, 320.0]",-3.93368737024197,-0.4329301155860792,-3.956652233162189,-4.05940542990526
"[0.0, 320.0, 40.0, 360.0]",-3.3727470764981606,-3.4423885355033814,3.07905101815544,-3.3883956776923725
"[40.0, 320.0, 80.0, 360.0]",-2.903709970752897,-2.6481368443628654,6.645979970866373,-2.6352352798234895
