,0,1,2,3
"[0.0, 0.0, 40.0, 40.0]",0.0,0.0,-0.2,0.0
"[40.0, 0.0, 80.0, 40.0]",-0.2,-0.2,-0.2,-0.2
"[80.0, 0.0, 120.0, 40.0]",-0.2,0.0,-0.2,-0.2
"[120.0, 0.0, 160.0, 40.0]",-0.2,0.0,-0.2,-0.2
"[160.0, 0.0, 200.0, 40.0]",0.0,-0.2,-0.2,-0.2
"[200.0, 0.0, 240.0, 40.0]",-0.2,-0.2,-0.2,-0.2
"[240.0, 0.0, 280.0, 40.0]",0.0,0.0,0.0,-0.2
"[40.0, 40.0, 80.0, 80.0]",-0.58808,-0.712224,-0.58808,-0.58808
"[40.0, 80.0, 80.0, 120.0]",-0.524,-0.5758399999999999,-0.5528,-0.5528000000000001
"[80.0, 80.0, 120.0, 120.0]",-0.396,-0.396,-0.396,-0.5528
"[120.0, 80.0, 160.0, 120.0]",-0.36000000000000004,-0.36000000000000004,-0.36000000000000004,-0.396
"[80.0, 120.0, 120.0, 160.0]",-0.396,-0.396,-0.5528000000000001,-0.36000000000000004
"[80.0, 160.0, 120.0, 200.0]",-0.396,-0.396,-0.396,-0.396
"[40.0, 160.0, 80.0, 200.0]",-0.42480000000000007,-0.36000000000000004,-0.396,-0.396
"[40.0, 200.0, 80.0, 240.0]",-0.396,-0.396,-0.5758399999999999,-0.396
"[40.0, 240.0, 80.0, 280.0]",-0.396,-0.5528,-0.396,-0.396
"[80.0, 240.0, 120.0, 280.0]",-0.42480000000000007,-0.396,-0.36000000000000004,-0.36000000000000004
"[40.0, 120.0, 80.0, 160.0]",-0.42480000000000007,-0.396,-0.5528000000000001,-0.396
"[120.0, 120.0, 160.0, 160.0]",-0.524,-0.396,-0.396,-0.396
"[160.0, 80.0, 200.0, 120.0]",-0.2,-0.396,0.0,-0.236
"[120.0, 160.0, 160.0, 200.0]",-0.396,-0.2,-0.396,-0.396
"[160.0, 160.0, 200.0, 200.0]",-0.2,-0.396,-0.36000000000000004,-0.396
"[160.0, 200.0, 200.0, 240.0]",-0.36000000000000004,-0.2,-0.36000000000000004,-0.2
"[200.0, 200.0, 240.0, 240.0]",-0.236,0.0,-0.2,-0.396
"[120.0, 200.0, 160.0, 240.0]",-0.2,-0.2,-0.2,-0.36000000000000004
"[120.0, 240.0, 160.0, 280.0]",-0.2,-0.2,-0.2,-0.396
"[80.0, 200.0, 120.0, 240.0]",-0.396,-0.396,-0.36000000000000004,-0.524
"[160.0, 240.0, 200.0, 280.0]",-0.2,-0.2,0.0,-0.2
"[160.0, 120.0, 200.0, 160.0]",-0.2,-0.396,-0.36000000000000004,-0.42479999999999996
"[200.0, 160.0, 240.0, 200.0]",-0.396,-0.2,-0.2,-0.42479999999999996
"[200.0, 120.0, 240.0, 160.0]",-0.2,-0.396,-0.396,-0.396
"[200.0, 80.0, 240.0, 120.0]",0.0,-0.236,0.0,0.0
