,0,1,2,3
"[0.0, 0.0, 40.0, 40.0]",-0.8285089519445048,-6.696241045335798,1.1181211331110146,-1.1051188866995896
"[40.0, 0.0, 80.0, 40.0]",0.6727013559758822,-9.157466068240817,2.3534679256789057,-0.4414255681782158
"[80.0, 0.0, 120.0, 40.0]",1.2329037691189715,-0.06709330537557756,3.7260754729765626,-0.3932281824187959
"[120.0, 0.0, 160.0, 40.0]",2.594762042858361,3.0433979716884925,5.25119496997396,-0.21464398857920786
"[160.0, 0.0, 200.0, 40.0]",3.080785573083849,1.8780306468973944,6.945772188859957,2.785254385211897
"[200.0, 0.0, 240.0, 40.0]",4.022275273764155,5.323372486575602,8.828635765399953,4.636497296746629
"[240.0, 0.0, 280.0, 40.0]",6.0180697412458395,6.548860897049276,10.920706405999951,6.441737901277872
"[40.0, 40.0, 80.0, 80.0]",-9.273481605520683,-9.275292888456908,-9.272602623102054,-9.277670626313546
"[40.0, 80.0, 80.0, 120.0]",-9.258275578797319,-9.269613609168427,-9.26257251650104,-9.261446113170864
"[80.0, 80.0, 120.0, 120.0]",-9.253638378527128,-9.247935519112678,-9.259145277526907,-9.264874018657977
"[120.0, 80.0, 160.0, 120.0]",-9.253654502580323,-9.24520542668265,-9.243440597775738,-9.257191910828643
"[80.0, 120.0, 120.0, 160.0]",-9.253367607776578,-9.249606034079642,-9.254546092856838,-9.24893830725168
"[80.0, 160.0, 120.0, 200.0]",-9.25015216107744,-9.238880176191001,-9.239400714429564,-9.238860895146717
"[40.0, 160.0, 80.0, 200.0]",-9.25725176424589,-9.24342831595197,-9.238307847190828,-9.253068768759896
"[40.0, 200.0, 80.0, 240.0]",-9.251670310889468,-9.25065608547916,-9.236510960179817,-9.2483508926134
"[40.0, 240.0, 80.0, 280.0]",-9.241688418264179,-9.238423276811266,-9.25080674745001,-9.255628889096586
"[80.0, 240.0, 120.0, 280.0]",-9.252586491058802,-9.241749610064137,-9.241588798747097,-9.240153946452413
"[40.0, 120.0, 80.0, 160.0]",-9.25974464460216,-9.251080877804307,-9.260981337888587,-9.247538275972383
"[120.0, 120.0, 160.0, 160.0]",-9.23850595383729,-9.247740567265971,-9.242466138967703,-9.24541761332857
"[160.0, 80.0, 200.0, 120.0]",-9.239472386441149,-9.234789052327114,-9.228076684314715,-9.243781995996773
"[120.0, 160.0, 160.0, 200.0]",-9.239600927765338,-9.243882538826623,-9.240667901925962,-9.239423023382724
"[160.0, 160.0, 200.0, 200.0]",-9.231083257323592,-9.23218612572136,-9.233480507910679,-9.242088979013545
"[160.0, 200.0, 200.0, 240.0]",-9.24610412216531,-9.227690622076208,-9.220293994119777,-9.22083630620408
"[200.0, 200.0, 240.0, 240.0]",-9.211486355330159,-44.63129088,-9.217798303600352,-9.22647246318795
"[120.0, 200.0, 160.0, 240.0]",-9.238262733266376,-9.230560059554543,-9.238407714933837,-9.229241503152133
"[120.0, 240.0, 160.0, 280.0]",-9.226298503696794,-9.236609682567247,-9.230829531808077,-9.249429269602013
"[80.0, 200.0, 120.0, 240.0]",-9.239398775380039,-9.235568156373494,-9.240917987335092,-9.247175312688041
"[160.0, 240.0, 200.0, 280.0]",-9.222374379490322,-9.216364625538773,-46.564026163200005,-9.228735323177961
"[160.0, 120.0, 200.0, 160.0]",-9.23607264775632,-9.23818775880843,-9.235919736496601,-9.235796305124897
"[200.0, 160.0, 240.0, 200.0]",-9.220081580828774,-9.218868506158241,-9.224092213907994,-9.234445423746696
"[200.0, 120.0, 240.0, 160.0]",-9.227727155336881,-9.224309673454957,-9.230669829003181,-9.233136466385538
"[200.0, 80.0, 240.0, 120.0]",-9.228198937625367,-9.234425289882132,-9.219946073543689,-9.225078927191094
"[0.0, 40.0, 40.0, 80.0]",-6.390651653529282,-6.264639830995757,-6.594948291679166,-6.424549840440251
terminal,0.0,0.0,0.0,0.0
"[0.0, 80.0, 40.0, 120.0]",-6.136479322047252,-5.594630662323011,-6.513889041436316,-6.04482836082244
"[280.0, 0.0, 320.0, 40.0]",10.584433528504379,4.110273739743865,13.245229339999948,6.873747978909531
"[320.0, 0.0, 360.0, 40.0]",7.875475249907,15.828032599999947,9.802341410980166,8.488481111310662
"[320.0, 40.0, 360.0, 80.0]",13.29819752033536,18.697813999999944,12.663990569466561,7.489423374225696
"[280.0, 40.0, 320.0, 80.0]",-3.1439699889612642,-3.168742739267129,14.835680378851793,-3.26458093354402
"[280.0, 80.0, 320.0, 120.0]",-2.9604522058051868,1.7676288540367588,16.157751311279142,2.5410234932983804
"[320.0, 80.0, 360.0, 120.0]",14.255325002530569,21.886459999999946,7.806608016535066,9.226871160098234
"[320.0, 120.0, 360.0, 160.0]",17.56595994776879,25.429399999999948,20.88467649058121,12.127544652923522
"[320.0, 160.0, 360.0, 200.0]",20.54289796544999,29.36599999999995,23.942645150680036,2.5848009221265986
"[320.0, 200.0, 360.0, 240.0]",16.240212173548603,33.73999999999995,28.46069209137459,8.518967315069853
"[320.0, 240.0, 360.0, 280.0]",25.89680790334455,38.59999999999996,29.636091270591493,13.960528941710322
"[320.0, 280.0, 360.0, 320.0]",24.772989509221908,43.99999999999997,33.39234731397361,16.839124577990855
"[280.0, 280.0, 320.0, 320.0]",-0.2,-0.2,32.380896346680345,-0.36000000000000004
"[280.0, 240.0, 320.0, 280.0]",-0.7548717601280001,-0.534944,27.947051160245717,-0.8151392000000001
"[280.0, 320.0, 320.0, 360.0]",-0.2,3.5757965418496007,43.997705512185355,6.503489937959962
