,0,1,2,3
"[0.0, 0.0, 40.0, 40.0]",-5.474335537848241,-5.47629408103695,-5.489553732173232,-5.4611423316244
"[0.0, 40.0, 40.0, 80.0]",-5.432789307369491,-5.361981400096211,-6.614118676779698,-5.323938860996323
"[40.0, 40.0, 80.0, 80.0]",-8.711476340142427,-8.67001871687011,-8.6865033644721,-8.704406613006809
"[40.0, 80.0, 80.0, 120.0]",-8.661790632722228,-8.657842148648315,-8.632519572976474,-8.657727981206401
"[40.0, 120.0, 80.0, 160.0]",-8.622619130759864,-8.616198795759889,-8.652188019773696,-8.640059389236828
"[80.0, 120.0, 120.0, 160.0]",-8.622622991002478,-8.602237991208478,-8.620580041037273,-8.639427113768644
"[80.0, 80.0, 120.0, 120.0]",-8.628717397976965,-8.623088758630642,-8.618671522093196,-8.646669014891078
"[80.0, 160.0, 120.0, 200.0]",-8.612050950148737,-8.624220654003242,-8.616317806533702,-8.60158334250784
"[120.0, 80.0, 160.0, 120.0]",-8.611627748487848,-8.625602166339139,-8.602961284878848,-8.624672613509938
"[160.0, 80.0, 200.0, 120.0]",-8.624510820252743,-8.596518874366481,-8.611619283131915,-8.620646043353332
"[120.0, 120.0, 160.0, 160.0]",-8.611502097606222,-8.620682087048634,-8.608338232111356,-8.601541693803767
"[160.0, 120.0, 200.0, 160.0]",-8.608414502917944,-8.59993579596984,-8.597127439699012,-8.60504091983069
"[160.0, 160.0, 200.0, 200.0]",-8.60718069435313,-8.617753813326075,-8.615095490692463,-8.59447288553948
"[160.0, 200.0, 200.0, 240.0]",-8.626731311096592,-8.61540879163033,-9.62815194505087,-8.613355374447305
"[200.0, 200.0, 240.0, 240.0]",-8.119808593804565,-39.51424,-12.537888508904778,-8.082944483845555
"[200.0, 160.0, 240.0, 200.0]",-8.592038727442338,-13.357491513367034,-8.598817748588331,-8.596532414503542
terminal,0.0,0.0,0.0,0.0
"[40.0, 0.0, 80.0, 40.0]",-5.393801661398616,-6.226048786611966,-5.324758280475491,-5.300327656014662
"[80.0, 0.0, 120.0, 40.0]",-5.059992488346854,-5.103513074258229,-5.105862147338885,-5.100109323561314
"[40.0, 160.0, 80.0, 200.0]",-8.599627810649446,-8.596487198071944,-8.61580980774379,-8.633258999525378
"[120.0, 160.0, 160.0, 200.0]",-8.592502042161994,-8.619692843562465,-8.616261003464178,-8.614284685405483
"[80.0, 200.0, 120.0, 240.0]",-8.623782616703975,-8.616796381557858,-8.623363396905457,-8.610559295827175
"[80.0, 240.0, 120.0, 280.0]",-8.630162836106008,-8.613507896011765,-8.617093317318506,-8.608806823141062
"[40.0, 240.0, 80.0, 280.0]",-8.607314802002103,-8.637133912924398,-8.615570612698052,-8.613799281383622
"[120.0, 200.0, 160.0, 240.0]",-8.614096010829165,-8.620228672727954,-8.632677816915361,-8.619201144751328
"[120.0, 240.0, 160.0, 280.0]",-8.63249622648361,-8.60757166171003,-8.608706846731307,-8.627541016729086
"[160.0, 240.0, 200.0, 280.0]",-8.60761702268945,-10.61848918623066,-33.616,-8.618031529285922
"[40.0, 200.0, 80.0, 240.0]",-8.591163061193752,-8.608648057365802,-8.601836307632958,-8.593883735479555
"[200.0, 120.0, 240.0, 160.0]",-8.594929282545204,-8.593671839748769,-8.60770526217218,-8.605845159788862
"[120.0, 0.0, 160.0, 40.0]",-5.0043413070985885,-4.861893429086621,-4.923789691225973,-4.851151766481099
"[160.0, 0.0, 200.0, 40.0]",-4.783104480944826,-4.637289680013552,-4.663669465243251,-4.744787111770923
"[200.0, 0.0, 240.0, 40.0]",-4.512074867055577,-4.472584690257348,-4.347800534558992,-4.471115815576769
"[240.0, 0.0, 280.0, 40.0]",-3.9694173835762285,-3.984037829031801,-3.9135527065906466,-4.2506003996482375
"[200.0, 80.0, 240.0, 120.0]",-8.593123752211751,-8.604188711070018,-8.614005132657079,-8.61593996908077
"[0.0, 80.0, 40.0, 120.0]",-5.080043332002955,-5.020960786389855,-6.102273726993336,-5.077077345703034
"[0.0, 120.0, 40.0, 160.0]",-4.7644579536596625,-4.4958649138481075,-6.136120099604206,-4.626860253079518
"[280.0, 0.0, 320.0, 40.0]",-3.6109467985486967,-3.5115332940936907,-3.505825186820563,-3.5905606862198125
"[280.0, 40.0, 320.0, 80.0]",-3.2999432680494025,-3.2848618979196833,-3.252168728948838,-3.443908756625094
"[280.0, 80.0, 320.0, 120.0]",-2.9101714310118783,-2.7683657145831204,-2.547757831288389,-2.88604626518647
"[320.0, 80.0, 360.0, 120.0]",-2.5675534580319685,0.6207918411781791,-2.6109426129446045,-2.643839801462473
"[320.0, 120.0, 360.0, 160.0]",-2.290524422682635,5.853164768601047,-2.0608769588430373,-2.032164086765551
"[320.0, 160.0, 360.0, 200.0]",-1.385579501328153,12.744778307791425,-1.7418540801450684,-1.4776433991433728
"[320.0, 200.0, 360.0, 240.0]",-1.135493826752,20.9626390701179,-1.0166397482188798,-1.1157342240148993
"[280.0, 200.0, 320.0, 240.0]",-1.3547992175968204,-1.2447583201280001,-1.3318977432166401,-1.2978499369775514
"[280.0, 160.0, 320.0, 200.0]",-1.7232997029694699,-1.7166880188257854,-0.46092440740980845,-1.8946784782851023
"[280.0, 240.0, 320.0, 280.0]",-0.7362324416,-0.7952450816000001,-0.7412587776,-0.8555744
"[320.0, 240.0, 360.0, 280.0]",-0.6934906496000001,30.961871215058505,-0.71352,-0.58808
"[240.0, 240.0, 280.0, 280.0]",-0.58808,-0.57584,-0.6341600000000001,-10.0
"[320.0, 0.0, 360.0, 40.0]",-3.3623306397920887,-3.2485159536650428,-3.3051152911122723,-3.2686859385789897
"[320.0, 40.0, 360.0, 80.0]",-3.0052169518992344,-2.4149193730260707,-3.1832961561545514,-3.0740916759906294
"[280.0, 120.0, 320.0, 160.0]",-2.340146508901405,-2.203626648152975,-1.5659018183850613,-2.3232574069747476
"[320.0, 280.0, 360.0, 320.0]",-0.236,41.4878512366763,-0.396,-0.396
"[280.0, 280.0, 320.0, 320.0]",-0.50212034496,1.8428277760000003,-0.396,-0.396
"[240.0, 280.0, 280.0, 320.0]",-0.524,3.4898975549771913,-0.396,-0.36000000000000004
"[200.0, 280.0, 240.0, 320.0]",-10.0,0.5908733134583709,-0.36000000000000004,0.0
"[320.0, 320.0, 360.0, 360.0]",18.0,0.0,49.98701925785366,18.0
"[0.0, 160.0, 40.0, 200.0]",-4.261844535906875,-4.191604319325163,-5.189095861907976,-4.2729215737788
"[240.0, 320.0, 280.0, 360.0]",-0.42479999999999996,0.0,31.766508904010966,-0.2
"[200.0, 320.0, 240.0, 360.0]",-0.38880000000000003,-0.55928,18.374350778265956,-0.436464
"[160.0, 320.0, 200.0, 360.0]",-1.1183958144000001,-1.082256083077202,7.567869562057087,-1.1341746537126238
"[120.0, 320.0, 160.0, 360.0]",-1.5698923727974399,-1.8798572487666483,1.4193649629132863,-1.5745502936515912
"[80.0, 320.0, 120.0, 360.0]",-2.303828222514655,-2.19221038294095,-1.4785012275257448,-2.157821307128291
"[280.0, 320.0, 320.0, 360.0]",0.0,-0.2,35.06169321002427,-0.2
"[0.0, 200.0, 40.0, 240.0]",-3.936467681935962,-3.9509265340383286,-4.631481482809148,-3.88980330909414
"[0.0, 240.0, 40.0, 280.0]",-3.755096269288461,-3.6920877597548927,-4.655279877016842,-3.7698783555110866
"[0.0, 280.0, 40.0, 320.0]",-3.4992795852041194,-3.389228378508302,-3.38442232441819,-3.4177366941105216
"[0.0, 320.0, 40.0, 360.0]",-3.093125692516875,-3.188919853550792,-3.1203823654115515,-3.1314003617247024
"[40.0, 320.0, 80.0, 360.0]",-2.903709970752897,-2.85929189430609,-2.717368317313032,-3.012491556427391
