,0,1,2,3
"[0.0, 0.0, 40.0, 40.0]",0.0,-0.2,0.0,0.0
"[0.0, 40.0, 40.0, 80.0]",-0.36000000000000004,0.0,-0.2,-0.2
"[40.0, 40.0, 80.0, 80.0]",-0.36000000000000004,-0.2,0.0,-0.36000000000000004
"[40.0, 80.0, 80.0, 120.0]",0.0,-0.2,-0.2,-0.2
"[40.0, 120.0, 80.0, 160.0]",0.0,0.0,-0.2,0.0
"[80.0, 120.0, 120.0, 160.0]",-0.36000000000000004,-0.2,0.0,0.0
"[80.0, 80.0, 120.0, 120.0]",-0.2,-0.2,-0.2,-0.2
"[80.0, 160.0, 120.0, 200.0]",-0.236,0.0,0.0,0.0
"[120.0, 80.0, 160.0, 120.0]",0.0,-0.2,-0.2,0.0
"[160.0, 80.0, 200.0, 120.0]",-0.2,-0.2,0.0,-0.2
"[120.0, 120.0, 160.0, 160.0]",0.0,0.0,-0.2,0.0
"[160.0, 120.0, 200.0, 160.0]",-0.2,-0.2,0.0,0.0
"[160.0, 160.0, 200.0, 200.0]",0.0,-0.2,0.0,0.0
"[160.0, 200.0, 200.0, 240.0]",0.0,0.0,-0.2,0.0
"[200.0, 200.0, 240.0, 240.0]",-0.2,-10.0,0.0,0.0
"[200.0, 160.0, 240.0, 200.0]",0.0,-0.2,-0.2,0.0
terminal,0.0,0.0,0.0,0.0
