,0,1,2,3,4,5,6,7,8
0,10000.0,5009.0,2545.0,1720.0,1305.0,1068.0,879.0,775.0,357.0
1,4991.0,8552.0,0.0,0.0,0.0,0.0,0.0,687.0,649.0
2,2475.0,9094.0,8198.0,7308.0,6329.0,5147.0,0.0,673.0,664.0
3,966.0,8276.0,8353.0,7839.0,7056.0,5916.0,0.0,666.0,653.0
4,355.0,7348.0,7845.0,7864.0,7403.0,6307.0,0.0,667.0,652.0
5,140.0,6428.0,7115.0,7489.0,7555.0,6538.0,0.0,648.0,618.0
6,62.0,5282.0,5988.0,6415.0,6660.0,9596.0,392.0,624.0,574.0
7,25.0,0.0,0.0,0.0,0.0,176.0,307.0,460.0,461.0
8,18.0,33.0,39.0,51.0,70.0,130.0,194.0,247.0,404.0
